City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Guasdualito,VE,86.0,scattered clouds,7.2424,-70.7324,Hotel Cuibas
409,Meulaboh,ID,75.09,overcast clouds,4.1363,96.1285,Kost Pria
411,Chiredzi,ZW,91.29,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
413,Wiwili,NI,77.74,clear sky,13.6268,-85.8254,Hostal Gladys
417,Aquiraz,BR,87.89,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
418,Paita,PE,79.36,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
423,Namibe,AO,77.86,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
428,Arica,CL,78.35,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
430,Tenenkou,ML,89.02,clear sky,14.4572,-4.9169,
432,Solenzo,BF,90.9,broken clouds,12.1833,-4.0833,
433,Muncar,ID,75.63,broken clouds,-8.4333,114.3333,Zaky Homestay
435,Vung Tau,VN,78.76,clear sky,10.346,107.0843,Seaside Resort
439,Buin,CL,79.05,clear sky,-33.7333,-70.75,Paihuen
442,Kieta,PG,77.92,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
444,Port Blair,IN,78.84,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
445,Benjamin Aceval,PY,93.6,overcast clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
447,Banjarmasin,ID,77.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
450,Inirida,CO,88.83,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
466,Alto Paraguai,BR,76.68,light rain,-14.5136,-56.4825,Good Rest Palace Hotel
471,Tual,ID,83.12,broken clouds,-5.6667,132.75,Grand Vilia Hotel
477,San Fernando,PH,78.82,broken clouds,15.0286,120.6898,Maharlika Hostel
478,Puerto Princesa,PH,77.7,broken clouds,9.7392,118.7353,Deep Forest Garden Inn
492,San Rafael,AR,82.92,clear sky,-34.6177,-68.3301,Hotel San Rafael
494,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
497,Kavaratti,IN,79.86,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
498,Itaberai,BR,82.11,scattered clouds,-16.0203,-49.8103,HOTEL ARAGUAIA
499,Nova Olinda Do Norte,BR,81.77,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
500,Bombay,IN,76.98,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
501,Vanimo,PG,76.41,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
503,Sulangan,PH,79.86,overcast clouds,11.1373,123.7228,Maia's Beach Resort
506,Morondava,MG,83.93,scattered clouds,-20.2833,44.2833,La Case Bambou
509,Paraje Nuevo,MX,81.41,clear sky,18.8708,-96.8667,Pensión Stamachi
510,Altamira,BR,86.09,scattered clouds,-3.2033,-52.2064,Requinte Hotel
516,Antalaha,MG,78.58,light rain,-14.9003,50.2788,Hotel Vitasoa
517,Petatlan,MX,80.17,clear sky,17.5167,-101.2667,Hotel California Petatlán
